label_id,rxnorm_product_id
269,403884
270,597747
1279,1543069
273,809481
1026,857677
3545,905093
765,834127
1028,2540699
275,792577
1030,905093
3547,242461
29,1720760
2052,1368960
3552,282755
2811,1665497
3553,1734399
2291,197409
3293,404665
2542,904447
43,1597099
2065,199123
292,208681
2299,212405
3054,979485
51,979485
52,727625
1816,636664
1306,238920
301,1659292
557,1668240
558,834127
310,607026
562,402010
2836,830253
1053,311197
1055,198250
568,729929
74,979092
1579,351761
2086,311197
1841,310346
2324,212542
331,308963
3087,866508
1067,1665060
1338,197319
3682,197892
631,314182
2154,197381
3933,208104
3934,979468
2157,311372
1390,1923431
1391,310273
2656,979485
3691,859426
3940,861379
3158,997229
143,310273
640,1149663
2398,750239
3163,855642
1668,313852
1669,200224
1404,828525
3699,402273
644,896856
3948,207772
900,310410
424,1726997
1677,311625
1416,282755
1921,603208
1169,2642148
907,349373
2933,348506
2409,967388
916,886662
3177,1191310
156,103456
2684,314142
3445,201737
1943,199245
3183,1191310
446,212542
1697,404443
2420,861360
169,542527
3188,153579
2688,852813
2943,859426
3192,308971
3197,107050
3453,876524
1434,199192
1703,207107
3977,153579
675,2669978
1438,607026
181,153579
681,213468
2432,310273
1445,1665497
686,349407
1713,1665060
3213,197391
690,855642
3468,352317
456,1114202
192,483017
3998,199245
693,834235
1976,905093
194,207331
945,834127
3999,860901
2450,207772
2218,859426
1467,485440
205,402010
2719,856369
2455,2596960
3762,310295
1473,1665497
477,314055
3763,242461
2231,831269
2461,1543069
1478,902648
1987,2591508
715,863671
1216,212542
479,404711
2731,485440
3495,1665497
217,212542
219,403818
220,834127
489,966271
3501,153822
2000,213729
3248,1790546
4045,404711
1750,892582
4050,847745
3008,197854
3252,198371
3011,993856
2492,311486
1244,1719000
3513,834127
3017,978006
3339,1723160
1589,2584557
3094,792577
1848,1437968
348,1001689
1342,1663224
3609,402131
2102,311197
3101,834235
3613,207107
353,1437968
3103,238212
830,153822
1350,312744
2600,1014673
99,313570
3354,313570
1095,854181
3888,200346
3630,349556
3889,349094
3891,349253
2117,2282028
593,1114202
2608,238920
1613,979468
2615,2602365
1362,834127
111,1665497
2876,212448
3644,312744
3643,2599543
2622,2628221
1367,212542
3374,359385
1369,1670324
2125,896856
2126,308963
3905,809014
2630,979485
2891,207772
609,1807894
3388,616366
1633,198250
1378,283077
1133,855642
1134,200224
1642,855172
3140,607026
2375,308867
3395,483017
128,997229
617,979485
3144,310273
400,1099648
2381,317573
2765,1923431
1513,197319
3800,1923431
2499,1149663
2020,2668071
1767,607026
3524,1797907
1769,404408
999,855642
3263,1668267
1516,1113046
1259,852813
3021,283402
1004,996634
2502,724891
2263,2604794
1519,1665497
2028,283077
1262,309140
513,546624
256,1242231
748,996634
10,208397
1527,312744
521,1658647
2785,848330
1784,359385
1530,859426
3820,197409
3275,1807631
526,402010
3823,402131
3032,204509
528,197854
2794,402091
267,863671
1796,311725
1281,1723194
1285,687211
539,313165
32,902648
1289,207772
2806,834127
2055,212448
3557,904447
2813,314285
2056,1242404
2296,997229
2066,2180671
3048,863671
3851,1670023
786,1114202
1810,1149663
3570,197506
1044,855642
1812,1149663
3299,313996
3301,831269
2305,153822
302,1743941
3065,197730
3066,212542
309,404408
807,1731352
317,905093
3589,311725
3323,1539762
2319,404588
1577,1658647
320,596928
1842,199123
2322,197730
324,207850
3867,1114202
1333,349556
3328,311625
1334,2480108
81,1665497
83,207406
335,199123
2325,834127
338,404443
85,200224
402,809481
2388,476556
3413,1658647
137,1368960
883,1728075
3417,308192
139,311486
2155,197409
140,197412
1660,200820
3689,403884
2655,1726216
