ingredient_id,effect_meddra_id
68244,10016256
19831,10017944
5487,10021550
596724,10037844
17767,10002424
60307,10001497
4337,10013968
10473,10052995
134748,10013781
134748,10010774
39998,10020751
358258,10010774
8787,10006482
22299,10037844
6719,10019063
68149,10014080
358258,10043554
4124,10028334
342369,10015090
276237,10037844
4124,10020772
17767,10013573
14851,10062026
6809,10067484
342369,10016173
41126,10019211
68244,10033645
11636,10027514
85762,10037844
342369,10047249
190521,10037844
89013,10016256
17767,10003988
276237,10023673
73494,10023126
41126,10015090
1373478,10037844
596724,10029202
6375,10031127
342369,10047700
134748,10040108
56946,10037660
2019,10047890
1373478,10003481
306674,10015150
1592254,10019211
342369,10008479
17767,10016256
6809,10020751
39998,10001497
275635,10016256
5487,10028813
1251,10021789
61805,10010741
4337,10037660
358258,10046735
407990,10013946
342369,10043607
1373478,10021789
5487,10043071
1100072,10061024
114477,10067484
623400,10013781
342369,10019211
342369,10000081
56946,10052995
114477,10041349
596724,10033371
5487,10003119
134748,10028836
596724,10008118
22299,10029202
39998,10044565
5487,10016825
14851,10012378
342369,10038435
1373478,10002218
4337,10013946
85762,10029202
68149,10021097
1592254,10067484
358258,10003549
5487,10023126
4124,10021789
11636,10012378
358258,10028813
141704,10029202
5514,10020751
5487,10046735
623400,10050584
25255,10028813
60307,10019717
495881,10002013
342369,10037377
4124,10037844
68244,10023673
41126,10020751
22299,10020772
306674,10043882
56946,10003239
39998,10047700
342369,10067484
68244,10037844
134748,10010300
1373478,10002424
85762,10020772
17767,10033371
89013,10037844
134748,10028813
6375,10047890
56946,10012378
342369,10044565
275635,10029202
56946,10040047
19831,10020751
19831,10007739
61805,10043554
6387,10067484
17767,10002855
306674,10019211
5487,10003988
6375,10009887
623400,10013036
6851,10018292
11636,10037087
68244,10028813
358258,10008531
276237,10016219
5487,10061461
19831,10013946
134748,10003246
73494,10002855
5487,10002424
342369,10015150
1100072,10020772
5487,10034966
358258,10012174
358258,10042128
39998,10022998
4337,10037087
68149,10044565
68149,10067484
5487,10042772
89013,10028813
358258,10037844
19831,10006482
39998,10047890
358258,10021789
89013,10043071
1040028,10013573
276237,10023676
6375,10019211
342369,10011224
4124,10028813
6719,10010300
6375,10047700
6375,10017944
19831,10029202
519,10020751
5487,10062026
4124,10067484
7514,10028813
10379,10020751
68244,10067484
1592254,10037844
4083,10028813
342369,10042128
89013,10001497
342369,10037844
596724,10025482
407990,10010774
5487,10028411
337525,10022611
6719,10041349
4337,10013781
114477,10047340
17767,10020751
35636,10022437
5487,10043882
596724,10015090
1373478,10000081
68149,10003549
342369,10012174
5487,10018473
342369,10008531
748794,10062026
68149,10043071
85762,10037087
342369,10021789
596724,10037087
1373478,10047700
89013,10041349
5487,10021097
134748,10031127
60307,10016256
89013,10044565
2019,10028813
342369,10017888
358274,10019211
73494,10003988
73494,10062237
596724,10003549
68149,10019717
358258,10020772
56946,10067484
1100072,10021789
623400,10002424
4337,10067484
1251,10061024
68149,10048642
73494,10046306
41126,10007152
623400,10047340
35636,10021789
1373478,10001582
6719,10010774
141704,10013786
4337,10044565
358258,10016256
623400,10013573
342369,10040047
2019,10016173
407990,10067484
343048,10037844
358258,10025310
11636,10067484
1373478,10001760
89013,10010774
2019,10019717
623400,10042772
342369,10022437
342369,10003239
134748,10020772
73494,10013573
134748,10019063
190521,10028813
613391,10037844
73494,10002424
4337,10060800
596724,10028813
68244,10023676
342369,10012378
73494,10042772
56946,10028584
325887,10052995
89013,10043458
596724,10001760
73494,10033645
342369,10047890
1815,10006093
358258,10013573
2019,10009887
342369,10003658
343048,10033371
4124,10023126
5487,10037844
5487,10033557
68149,10047700
4083,10019211
1592254,10047890
342369,10028411
1373478,10028813
35636,10029202
114477,10011224
342369,10016288
6375,10001497
6375,10050014
342369,10062026
68149,10019211
1546438,10021789
1373478,10016825
342369,10068319
61805,10005148
68149,10000081
1100072,10007554
358274,10016825
306674,10067484
342369,10021097
19831,10012378
6375,10041349
623400,10016256
141704,10061428
6628,10067484
73689,10003239
596724,10061024
19831,10011224
75207,10033557
89013,10039897
35636,10034010
6851,10015150
342369,10035664
6809,10062026
89013,10013983
11636,10000081
11636,10047700
342369,10037660
89013,10013916
6375,10016173
1040028,10016256
73494,10021789
358258,10029354
358258,10033371
342369,10013946
56946,10017944
61805,10015958
342369,10029328
300195,10067484
407990,10019211
407990,10000081
11636,10019211
4337,10047700
6375,10019717
6809,10028411
407990,10047700
39998,10029864
5487,10033645
4337,10019211
282446,10029202
134748,10003239
4337,10010300
68244,10019717
596724,10067484
596724,10036759
39998,10002855
