label_id,source,source_product_name,source_product_id,source_label_url
93,JP,"カプトプリル錠12.5「SW」 (後発品)
カプトプリル錠25「SW」 (後発品)",00058917,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00058917
94,JP,"デポ・メドロール水懸注20mg
デポ・メドロール水懸注40mg",00055582,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00055582
95,JP,"トリヘキシフェニジル塩酸塩錠2mg「ニプロ」",00068479,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00068479
96,JP,"K.C.L.エリキシル（10W／V％）",00050999,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00050999
97,JP,"ポビドンヨードスクラブ液7.5％「ケンエー」 (後発品)",00067505,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00067505
98,JP,"レボフロキサシン点滴静注バッグ500mg「タカタ」 (後発品)",00067361,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00067361
99,JP,"バンコマイシン塩酸塩散0.5g「VTRS」",00070344,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00070344
100,JP,"バルサルタン錠20mg「ケミファ」 (後発品)
バルサルタン錠40mg「ケミファ」 (後発品)
バルサルタン錠80mg「ケミファ」 (後発品)
バルサルタン錠160mg「ケミファ」 (後発品)",00062807,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00062807
101,JP,"オルメサルタン錠5mg「TCK」 (後発品)
オルメサルタン錠10mg「TCK」 (後発品)
オルメサルタン錠20mg「TCK」 (後発品)
オルメサルタン錠40mg「TCK」 (後発品)",00067087,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00067087
102,JP,"セレコキシブ錠100mg「YD」 (後発品)
セレコキシブ錠200mg「YD」 (後発品)",00068522,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00068522
103,JP,"ラモトリギン錠小児用2mg「アメル」
ラモトリギン錠小児用5mg「アメル」 (後発品)
ラモトリギン錠25mg「アメル」 (後発品)
ラモトリギン錠100mg「アメル」 (後発品)",00069249,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00069249
104,JP,"リセドロン酸Na錠2.5mg「サンド」 (後発品)",00061592,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00061592
105,JP,"ミルナシプラン塩酸塩錠12.5mg「サワイ」 (後発品)
ミルナシプラン塩酸塩錠15mg「サワイ」 (後発品)
ミルナシプラン塩酸塩錠25mg「サワイ」 (後発品)
ミルナシプラン塩酸塩錠50mg「サワイ」 (後発品)",00058596,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00058596
106,JP,"タムスロシン塩酸塩OD錠0.1mg「CH」 (後発品)
タムスロシン塩酸塩OD錠0.2mg「CH」 (後発品)",00060614,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00060614
107,JP,"エフメノカプセル100mg",00070102,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00070102
108,JP,"アルプロスタジル注5μgシリンジ「科研」 (後発品)",00066994,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00066994
109,JP,"アムバロ配合錠「サンド」 (後発品)",00065847,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00065847
